Main_Weather_ID,station_name,MONTH,DBTempAvg,Relative  Humidity,Wind,South_Vert_Solar,East_Vert_Solar,West_Vert_Solar,North_Vert_Solar,HorizSol,bin data
1,ALYESKA AK US,1,22,82.6,6,245,75,71,42,93,
1,ALYESKA AK US,2,23.9,77.4,6.1,340,147,147,95,190,
1,ALYESKA AK US,3,27.9,73.2,6.6,986,473,542,216,610,
1,ALYESKA AK US,4,36,75.3,6.6,905,663,640,341,957,"51,15,2.704 53,5,2.120 55,2,1.170 61,1,1.621"
1,ALYESKA AK US,5,45.3,68.2,7.5,909,772,771,476,1244,"51,89,1.586 53,25,2.296 55,16,2.821 57,8,3.231 59,1,3.210 61,5,3.979 63,2,4.232 65,6,3.678 67,6,3.852 69,1,3.774"
1,ALYESKA AK US,6,53,72.5,7.5,1097,1044,1089,622,1716,"51,122,0.471 53,124,0.911 55,81,0.955 57,50,1.234 59,27,2.139 61,16,2.296 63,22,3.415 65,18,3.345 67,13,2.930 69,15,3.254 71,4,2.363 73,6,3.724"
1,ALYESKA AK US,7,56.9,83.6,6.7,734,733,687,518,1134,"51,192,0.231 53,177,0.575 55,146,1.042 57,78,1.479 59,39,2.362 61,30,3.009 63,15,3.125 65,5,3.495 67,8,4.720 69,2,4.608 71,2,4.954 73,2,5.140"
1,ALYESKA AK US,8,55,72.7,6.2,915,658,783,383,1070,"51,128,0.171 53,109,0.373 55,96,0.655 57,90,1.236 59,37,1.423 61,67,2.001 63,41,2.263 65,29,1.997 67,19,2.590 69,26,2.583 71,7,3.229 73,5,2.995 75,1,3.503"
1,ALYESKA AK US,9,47.5,71.6,6.3,596,414,455,252,602,"51,130,0.974 53,69,1.314 55,37,2.245 57,37,2.814 59,20,3.425 61,13,4.427 63,5,3.947"
1,ALYESKA AK US,10,36.3,73.4,6.1,496,241,235,128,331,"51,5,0.902 53,3,0.991 55,1,1.054 59,1,1.130"
1,ALYESKA AK US,11,26.1,71.8,6,440,135,127,59,145,
1,ALYESKA AK US,12,24.2,85,5.7,143,42,40,26,55,
2,ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,1,17.1,75.8,6.7,243,73,70,41,91,
2,ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,2,20.2,77,6.7,837,285,300,117,340,
2,ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,3,26.6,60.8,7.3,986,504,532,230,705,
2,ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,4,36.8,64.7,7.4,1120,789,748,355,1119,"51,10,1.586 53,1,2.708 55,1,3.969"
2,ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,5,47.8,61.6,8.4,1027,930,894,519,1422,"51,171,1.226 53,81,1.977 55,43,2.203 57,32,2.414 59,10,2.483 61,11,3.011 63,7,3.975"
2,ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,6,55.2,64.2,8.3,1125,1068,1109,634,1747,"51,134,0.256 53,82,0.541 55,123,0.594 57,96,1.022 59,42,1.254 61,57,1.754 63,41,2.088 65,33,2.233 67,21,2.241 69,27,2.716 71,7,2.908 73,3,3.244 75,2,1.909"
2,ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,7,58.8,70.9,7.4,1029,879,934,554,1474,"51,61,0.150 53,78,0.186 55,113,0.210 57,130,0.595 59,57,0.699 61,92,1.137 63,77,1.754 65,53,2.336 67,44,2.702 69,29,2.790 71,2,3.048 73,2,3.553 75,1,2.707"
2,ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,8,56.7,72.3,6.9,951,741,837,424,1163,"51,87,0.155 53,97,0.421 55,118,0.443 57,111,0.612 59,90,1.368 61,74,1.857 63,54,2.242 65,29,2.398 67,28,3.222 69,6,3.398 71,1,0.692"
