ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,1,
ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,2,
ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,3,
ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,4,"51,10,1.586 53,1,2.708 55,1,3.969"
ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,5,"51,171,1.226 53,81,1.977 55,43,2.203 57,32,2.414 59,10,2.483 61,11,3.011 63,7,3.975"
ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,6,"51,134,0.256 53,82,0.541 55,123,0.594 57,96,1.022 59,42,1.254 61,57,1.754 63,41,2.088 65,33,2.233 67,21,2.241 69,27,2.716 71,7,2.908 73,3,3.244 75,2,1.909"
ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,7,"51,61,0.150 53,78,0.186 55,113,0.210 57,130,0.595 59,57,0.699 61,92,1.137 63,77,1.754 65,53,2.336 67,44,2.702 69,29,2.790 71,2,3.048 73,2,3.553 75,1,2.707"
ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,8,"51,87,0.155 53,97,0.421 55,118,0.443 57,111,0.612 59,90,1.368 61,74,1.857 63,54,2.242 65,29,2.398 67,28,3.222 69,6,3.398 71,1,0.692"
ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,9,"51,131,0.504 53,98,0.866 55,99,1.194 57,68,1.332 59,21,1.185 61,34,3.490 63,13,5.741 65,7,4.264 67,3,3.789"
ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,10,"51,3,6.688"
ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,11,
ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,12,
ANNETTE WEATHER SERVICE OFFICE AIRPORT AK US,1,
ANNETTE WEATHER SERVICE OFFICE AIRPORT AK US,2,"51,14,0.778"
ANNETTE WEATHER SERVICE OFFICE AIRPORT AK US,3,"51,4,5.171"
ANNETTE WEATHER SERVICE OFFICE AIRPORT AK US,4,"51,59,1.960 53,26,2.614 55,11,3.659 57,10,4.132 59,4,3.515 61,4,4.660"
ANNETTE WEATHER SERVICE OFFICE AIRPORT AK US,5,"51,163,1.454 53,51,1.818 55,22,1.773 57,37,1.930 59,16,2.733 61,14,2.413 63,15,2.641 65,8,2.350 67,1,5.476 69,2,5.021"
ANNETTE WEATHER SERVICE OFFICE AIRPORT AK US,6,"51,207,0.554 53,139,0.980 55,92,1.760 57,37,2.162 59,20,2.256 61,13,3.115 63,12,3.693 65,11,4.088 67,1,4.060"
ANNETTE WEATHER SERVICE OFFICE AIRPORT AK US,7,"51,49,0.283 53,122,0.213 55,162,0.564 57,162,0.820 59,44,0.906 61,60,1.641 63,46,1.695 65,26,2.648 67,25,2.778 69,23,3.030 71,8,3.115 73,8,3.692"
ANNETTE WEATHER SERVICE OFFICE AIRPORT AK US,8,"51,106,0.253 53,176,0.221 55,135,0.439 57,60,0.880 59,47,1.142 61,63,1.602 63,48,2.505 65,31,2.072 67,16,1.992 69,20,2.732 71,17,3.089 73,9,3.188 75,7,3.920 77,2,2.975 81,2,4.549 83,4,3.213 85,1,4.023"
ANNETTE WEATHER SERVICE OFFICE AIRPORT AK US,9,"51,136,0.432 53,137,0.686 55,168,1.218 57,108,1.342 59,45,2.171 61,19,2.746 63,7,4.551 65,2,3.928"
ANNETTE WEATHER SERVICE OFFICE AIRPORT AK US,10,"51,125,1.877 53,91,1.161 55,11,3.675"
ANNETTE WEATHER SERVICE OFFICE AIRPORT AK US,11,"51,35,1.907"
ANNETTE WEATHER SERVICE OFFICE AIRPORT AK US,12,
BARROW W POST W ROGERS AIRPORT AK US,1,
BARROW W POST W ROGERS AIRPORT AK US,2,
BARROW W POST W ROGERS AIRPORT AK US,3,
BARROW W POST W ROGERS AIRPORT AK US,4,
BARROW W POST W ROGERS AIRPORT AK US,5,
BARROW W POST W ROGERS AIRPORT AK US,6,"51,5,1.286 53,1,0.881"
BARROW W POST W ROGERS AIRPORT AK US,7,"51,25,1.112 53,7,1.707 55,9,1.929 57,2,2.534"
BARROW W POST W ROGERS AIRPORT AK US,8,"51,33,2.497 53,29,2.862 55,29,3.699 57,13,3.343 59,4,4.552 61,3,3.065"
BARROW W POST W ROGERS AIRPORT AK US,9,
BARROW W POST W ROGERS AIRPORT AK US,10,
BARROW W POST W ROGERS AIRPORT AK US,11,
BARROW W POST W ROGERS AIRPORT AK US,12,
BETHEL AIRPORT AK US,1,
BETHEL AIRPORT AK US,2,
BETHEL AIRPORT AK US,3,
BETHEL AIRPORT AK US,4,"51,3,2.863 53,2,3.076"
BETHEL AIRPORT AK US,5,"51,57,2.027 53,31,2.105 55,23,2.555 57,12,3.355 59,4,4.643 61,3,3.739 63,3,3.513 65,2,4.010"
BETHEL AIRPORT AK US,6,"51,128,0.637 53,52,1.154 55,38,1.491 57,45,1.722 59,26,1.937 61,32,2.056 63,34,2.309 65,21,2.611 67,19,2.151 69,10,2.292 71,2,4.893 73,2,3.031 75,3,3.152 77,2,3.145"
BETHEL AIRPORT AK US,7,"51,97,0.374 53,112,0.573 55,112,0.741 57,74,1.018 59,61,1.371 61,51,1.388 63,48,1.873 65,22,2.190 67,17,3.058 69,24,2.762 71,12,3.414 73,4,3.771"
BETHEL AIRPORT AK US,8,"51,133,0.679 53,118,0.865 55,83,1.354 57,59,1.406 59,52,1.435 61,24,2.425 63,13,2.262 65,11,1.794 67,9,3.273 69,8,3.835 71,2,4.342 73,2,5.355 75,2,3.963"
BETHEL AIRPORT AK US,9,"51,111,1.206 53,44,2.666 55,18,3.042 57,10,2.426 59,3,2.821"
BETHEL AIRPORT AK US,10,"51,4,4.833"
BETHEL AIRPORT AK US,11,
BETHEL AIRPORT AK US,12,
BETTLES AIRPORT AK US,1,
BETTLES AIRPORT AK US,2,
BETTLES AIRPORT AK US,3,
BETTLES AIRPORT AK US,4,"51,37,1.660 53,6,1.802 55,2,3.505 57,3,2.818"
