,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE
0,BIG RIVER LAKES AK US,12.0,60.81700134277344,-152.3000030517578
0,ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,40.20000000000655,61.16888999998594,-150.02777999998017
1,CORDOVA M K SMITH AIRPORT AK US,12.0,60.5,-145.5
1,ANNETTE WEATHER SERVICE OFFICE AIRPORT AK US,33.20000000000238,55.03889101387081,-131.57861912484648
2,DUTCH HARBOR AK US,4.0,53.9000015258789,-166.5500030517578
2,BARROW W POST W ROGERS AIRPORT AK US,9.39999999999963,71.2833999999963,-156.781500000023
3,BETHEL AIRPORT AK US,31.100000000003078,60.784999999989374,-161.82930000001747
3,EIELSON FIELD AK US,167.0,64.65000152587889,-147.10000610351562
4,BETTLES AIRPORT AK US,195.6999999999702,66.91610999999352,-151.5088900000082
4,ILIAMNA AIRPORT AK US,57.0,59.75,-154.91700744628906
5,BIG DELTA AIRPORT AK US,386.5,63.994999999996026,-145.71832999998955
5,KENAI MUNICIPAL AIRPORT AK US,26.0,60.58300018310547,-151.23300170898438
6,COLD BAY AIRPORT AK US,23.79999999999697,55.22083000000473,-162.73249999999376
6,NORTHWAY AIRPORT AK US,522.0,62.96699905395508,-141.93299865722656
7,FAIRBANKS INTERNATIONAL AIRPORT AK US,131.69999999997833,64.80389934239416,-147.87610065760367
7,MATANUSKA AGRICULTURAL EXPERIMENT STATION AK US,71.0,61.599998474121094,-149.08299255371094
8,SEWARD AIRPORT AK US,18.0,60.11700057983398,-149.4499969482422
8,GULKANA AIRPORT AK US,478.79999999992486,62.16024577252462,-145.4569656706009
9,SITKA AIRPORT AK US,4.0,57.04999923706055,-135.36700439453122
9,HOMER AIRPORT AK US,19.5,59.64277999999548,-151.4872200000087
10,TANANA CALHOUN MEMORIAL AIRPORT AK US,71.0,65.16699981689453,-152.10000610351562
10,JUNEAU INTERNATIONAL AIRPORT AK US,4.9000000000008015,58.35659999999918,-134.56400000001145
11,KING SALMON AIRPORT AK US,20.39999999999669,58.68290000001063,-156.65629999998728
11,VALDEZ WEATHER SERVICE OFFICE AK US,7.0,61.13299942016602,-146.35000610351562
12,WRANGELL AIRPORT AK US,13.0,56.48300170898438,-132.36700439453122
12,KODIAK AIRPORT AK US,24.39999999999628,57.751110000008396,-152.4855599999656
13,KOTZEBUE RALPH WEIN MEMORIAL AIRPORT AK ,3.618426761045634,66.88314167828132,-162.6003866434805
14,MCGRATH AIRPORT AK US,101.5,62.95748986186063,-155.61028202763467
15,NOME MUNICIPAL AIRPORT AK US,4.0,64.51110000000314,-165.43999999996512
16,ST PAUL ISLAND AIRPORT AK US,10.699999999998287,57.15893846329951,-170.2222200000308
17,TALKEETNA AIRPORT AK US,106.69999999998694,62.32000000000603,-150.09499999997837
18,VALDEZ WEATHER SERVICE OFFICE AK US,10.70000000000024,61.130279999998756,-146.3519399999956
19,YAKUTAT AIRPORT AK US,10.10000000000075,59.51199999999137,-139.67119999998727
