station_name,MONTH,wind_speed_mph,data_source
ALYESKA AK US,no_data,no_data,no_data
ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,1.0,6.66787,noaa
ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,2.0,6.74360,noaa
ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,3.0,7.31843,noaa
ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,4.0,7.37097,noaa
ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,5.0,8.36962,noaa
ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,6.0,8.29833,noaa
ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,7.0,7.43360,noaa
ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,8.0,6.90241,noaa
ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,9.0,7.04986,noaa
ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,10.0,6.78454,noaa
ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,11.0,6.67194,noaa
ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,12.0,6.33010,noaa
ANNETTE WEATHER SERVICE OFFICE AIRPORT AK US,1.0,9.51875,noaa
ANNETTE WEATHER SERVICE OFFICE AIRPORT AK US,2.0,9.20089,noaa
ANNETTE WEATHER SERVICE OFFICE AIRPORT AK US,3.0,9.43272,noaa
ANNETTE WEATHER SERVICE OFFICE AIRPORT AK US,4.0,8.96041,noaa
ANNETTE WEATHER SERVICE OFFICE AIRPORT AK US,5.0,8.10927,noaa
ANNETTE WEATHER SERVICE OFFICE AIRPORT AK US,6.0,7.74062,noaa
ANNETTE WEATHER SERVICE OFFICE AIRPORT AK US,7.0,7.06895,noaa
ANNETTE WEATHER SERVICE OFFICE AIRPORT AK US,8.0,7.14495,noaa
ANNETTE WEATHER SERVICE OFFICE AIRPORT AK US,9.0,7.53687,noaa
ANNETTE WEATHER SERVICE OFFICE AIRPORT AK US,10.0,8.95846,noaa
ANNETTE WEATHER SERVICE OFFICE AIRPORT AK US,11.0,9.48604,noaa
ANNETTE WEATHER SERVICE OFFICE AIRPORT AK US,12.0,9.40967,noaa
AUKE BAY AK US,no_data,no_data,no_data
BARROW W POST W ROGERS AIRPORT AK US,1.0,12.4276,noaa
BARROW W POST W ROGERS AIRPORT AK US,2.0,12.6151,noaa
BARROW W POST W ROGERS AIRPORT AK US,3.0,11.7397,noaa
BARROW W POST W ROGERS AIRPORT AK US,4.0,11.905,noaa
BARROW W POST W ROGERS AIRPORT AK US,5.0,12.4590,noaa
BARROW W POST W ROGERS AIRPORT AK US,6.0,12.0491,noaa
BARROW W POST W ROGERS AIRPORT AK US,7.0,12.1786,noaa
BARROW W POST W ROGERS AIRPORT AK US,8.0,12.5145,noaa
BARROW W POST W ROGERS AIRPORT AK US,9.0,13.1780,noaa
BARROW W POST W ROGERS AIRPORT AK US,10.0,13.7411,noaa
BARROW W POST W ROGERS AIRPORT AK US,11.0,13.1793,noaa
BARROW W POST W ROGERS AIRPORT AK US,12.0,12.7982,noaa
BETHEL AIRPORT AK US,1.0,14.3376,noaa
BETHEL AIRPORT AK US,2.0,13.8867,noaa
BETHEL AIRPORT AK US,3.0,13.4803,noaa
BETHEL AIRPORT AK US,4.0,12.0413,noaa
BETHEL AIRPORT AK US,5.0,10.9346,noaa
BETHEL AIRPORT AK US,6.0,10.0245,noaa
BETHEL AIRPORT AK US,7.0,9.93481,noaa
BETHEL AIRPORT AK US,8.0,10.5388,noaa
