,station_name,MONTH,Wind
0,ALYESKA AK US,1,4.892137711
1,ALYESKA AK US,1,5.061879848
2,ALYESKA AK US,1,6.842877284
3,ALYESKA AK US,1,5.370897387
4,ALYESKA AK US,1,7.618139995
5,ALYESKA AK US,1,8.885133036
6,ALYESKA AK US,1,7.59162141
7,ALYESKA AK US,1,6.72760262
8,ALYESKA AK US,1,6.761715983
9,ALYESKA AK US,1,6.273268906
10,ALYESKA AK US,1,5.641567351
11,ALYESKA AK US,1,5.239314694
12,ALYESKA AK US,2,4.892137711
13,ALYESKA AK US,2,5.061879848
14,ALYESKA AK US,2,6.842877284
15,ALYESKA AK US,2,5.370897387
16,ALYESKA AK US,2,7.618139995
17,ALYESKA AK US,2,8.885133036
18,ALYESKA AK US,2,7.59162141
19,ALYESKA AK US,2,6.72760262
20,ALYESKA AK US,2,6.761715983
21,ALYESKA AK US,2,6.273268906
22,ALYESKA AK US,2,5.641567351
23,ALYESKA AK US,2,5.239314694
24,ALYESKA AK US,3,4.892137711
25,ALYESKA AK US,3,5.061879848
26,ALYESKA AK US,3,6.842877284
27,ALYESKA AK US,3,5.370897387
28,ALYESKA AK US,3,7.618139995
29,ALYESKA AK US,3,8.885133036
30,ALYESKA AK US,3,7.59162141
31,ALYESKA AK US,3,6.72760262
32,ALYESKA AK US,3,6.761715983
33,ALYESKA AK US,3,6.273268906
34,ALYESKA AK US,3,5.641567351
35,ALYESKA AK US,3,5.239314694
36,ALYESKA AK US,4,4.892137711
37,ALYESKA AK US,4,5.061879848
38,ALYESKA AK US,4,6.842877284
39,ALYESKA AK US,4,5.370897387
40,ALYESKA AK US,4,7.618139995
41,ALYESKA AK US,4,8.885133036
42,ALYESKA AK US,4,7.59162141
43,ALYESKA AK US,4,6.72760262
44,ALYESKA AK US,4,6.761715983
45,ALYESKA AK US,4,6.273268906
46,ALYESKA AK US,4,5.641567351
47,ALYESKA AK US,4,5.239314694
48,ALYESKA AK US,5,4.892137711
49,ALYESKA AK US,5,5.061879848
50,ALYESKA AK US,5,6.842877284
51,ALYESKA AK US,5,5.370897387
52,ALYESKA AK US,5,7.618139995
53,ALYESKA AK US,5,8.885133036
54,ALYESKA AK US,5,7.59162141
55,ALYESKA AK US,5,6.72760262
56,ALYESKA AK US,5,6.761715983
57,ALYESKA AK US,5,6.273268906
58,ALYESKA AK US,5,5.641567351
59,ALYESKA AK US,5,5.239314694
60,ALYESKA AK US,6,4.892137711
