,country,region,city,station_name_current,stn_key,icao_xref,wmo_xref,wban,maslib,lat_prp,lon_prp,elev_prp,postal_code
32950,United States,AK,Adak,Airport | NAS Adak | Adak AAF | Davis AFB | Mitchell Field,USaaPADK,PADK,70454.0,25704.0,704540.0,51.87796389,-176.6460306,5.5,US-99546
32951,United States,AK,Adak,Airport | NAS Adak | Adak AAF | Davis AFB | Mitchell Field,USaaPADK,PADK,70454.0,25707.0,704540.0,51.87796389,-176.6460306,5.5,US-99546
32952,United States,AK,Adak|Adak Island|Adakisland [MISSPELLING],Airport | NAS Adak | Adak AAF | Davis AFB | Mitchell Field,USaaPADK,PADK,70454.0,25701.0,704540.0,51.87796389,-176.6460306,5.5,US-99546
32992,United States,AK,Anchorage|Lindale,Merrill Field,USaaPAMR,PAMR,70273.0,26409.0,702735.0,61.213544999999996,-149.8444464,41.8,US-99508
32996,United States,AK,Anchorage|Turnagain Heights,Ted Stevens Anchorage International Airport,USaaPANC,PANC,70273.0,26451.0,702730.0,61.17436111,-149.9963611,46.0,US-99502
33002,United States,AK,Anchorage|Wilson Village,Elmendorf AFB|Elmendorf Field,USaaPAED,PAED,70272.0,26401.0,702720.0,61.25134722,-149.8065139,64.9,US-99506
33006,United States,AK,Angoon,Seaplane Base,USaaPAGN,PAGN,70383.0,25310.0,703830.0,57.50355528,-134.5850939,0.0,US-99820
33007,United States,AK,Aniak,Aniak Airport | Aniak Intermediate Field (formerly),USaaPANI,PANI,70232.0,26516.0,702320.0,61.58159694,-159.5430428,27.1,US-99602
33009,United States,AK,Annette Island,Annette Island Airport | Annette Island Intermediate Field (formerly),USaaPANT,PANT,70398.0,25308.0,703980.0,55.04243722,-131.57223190000002,36.3,US-99926
33025,United States,AK,Attu|Navy Town,Casco Cove CGS Airport,USaaPAAT,PAAT,70409.0,45709.0,704090.0,52.83254167,173.1755542,26.8,-
33030,United States,AK,Barrow|Browerville,Wiley Post-Will Rogers Memorial Airport,USaaPABR,PABR,70026.0,27502.0,700260.0,71.28488889,-156.76858330000002,15.8,US-99723
33039,United States,AK,Barter Island|Kaktovik,DEW Station,USaaPABA,PABA,70086.0,27401.0,700860.0,70.13398861,-143.5818669,2.4,US-99747
33052,United States,AK,Bethel,Bethel Airport | Bethel Intermediate Field (formerly),USaaPABE,PABE,70219.0,26615.0,702190.0,60.77855683,-161.8371774,39.0,US-99559
33055,United States,AK,Bettles,Field,USaaPABT,PABT,70174.0,26533.0,701740.0,66.91394444,-151.5290556,197.2,US-99726
33090,United States,AK,Cape Decision|Cape Pole,,UScCDECN,,70388.0,25315.0,703880.0,56.00211306,-134.1353392,10.4,US-99925
33091,United States,AK,Cape Hinchinbrook|Boswell Bay,Cape Hinchinbrook,USsCAPEX,PAJO,70279.0,26417.0,702790.0,60.23333333,-146.65,56.0,US-99574
33094,United States,AK,Cape Lisburne|Wevok,,USaaPALU,PALU,70104.0,26631.0,701040.0,68.87512778,-166.11108190000002,4.9,US-99766
