,stn_id,stn_name,ghi_uncert,dni_uncert,tmy_type,tmy_class,south_vert_solar,elevation,latitude,longitude,label
3,702730,Anchorage Intl AP,0.11,0.138,3,II,2.43,35.0,61.18299865722656,-150.0,2.43-0.14
7,703980,Annette Island AP,0.108,0.124,3,II,2.15,33.0,55.04999923706055,-131.56700134277344,2.15-0.12
9,700260,Barrow W Post-W Rogers Arpt [NSA - ARM],0.105,0.092,3,II,1.98,10.0,71.31999969482422,-156.6199951171875,1.98-0.09
10,702190,Bethel Airport,0.113,0.13,3,II,2.52,38.0,60.78300094604492,-161.83299255371094,2.52-0.13
11,701740,Bettles Field,0.113,0.137,3,II,2.73,196.0,66.91699981689453,-151.51699829101562,2.73-0.14
12,702670,Big Delta Allen AAF,0.163,0.169,3,II,2.73,386.0,64.0,-145.7169952392578,2.73-0.17
16,703160,Cold Bay Arpt,0.103,0.127,3,II,1.74,29.0,55.20000076293945,-162.7169952392578,1.74-0.13
22,702610,Fairbanks Intl Arpt,0.112,0.116,3,II,2.8,133.0,64.81700134277344,-147.85000610351562,2.8-0.12
26,702710,Gulkana Intermediate Field,0.114,0.143,3,II,2.64,478.0,62.150001525878906,-145.4499969482422,2.64-0.14
30,703410,Homer Arpt,0.112,0.209,3,II,2.44,27.0,59.650001525878906,-151.48300170898438,2.44-0.21
36,703810,Juneau Intl Arpt,0.109,0.211,3,II,2.32,4.0,58.349998474121094,-134.58299255371094,2.32-0.21
40,703260,King Salmon Arpt,0.114,0.159,3,II,2.31,15.0,58.68299865722656,-156.64999389648438,2.31-0.16
41,703500,Kodiak Airport,0.122,0.213,3,II,2.34,5.0,57.75,-152.5,2.34-0.21
42,701330,Kotzebue Ralph Wein Memorial,0.135,0.162,3,II,2.54,3.0,66.88300323486328,-162.60000610351562,2.54-0.16
44,702310,McGrath Arpt,0.121,0.133,3,II,2.54,105.0,62.95000076293945,-155.60000610351562,2.54-0.13
49,702000,Nome Municipal Arpt,0.113,0.141,3,II,2.47,4.0,64.51699829101562,-165.4499969482422,2.47-0.14
66,703080,St Paul Island Arpt,0.103,0.126,3,II,1.63,7.0,57.16699981689453,-170.2169952392578,1.63-0.13
67,702510,Talkeetna State Arpt,0.11,0.135,3,II,2.65,105.0,62.31700134277344,-150.10000610351562,2.65-0.14
72,702750,Valdez Wso,0.159,0.193,3,II,2.08,7.0,61.132999420166016,-146.35000610351562,2.08-0.19
75,703610,Yakutat State Arpt,0.118,0.2,3,II,2.07,8.0,59.516998291015625,-139.63299560546875,2.07-0.20
