,STATION_NAME,MONTH,RHum (%)
0,ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,1,75.78494623655914
1,ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,2,77.02678571428571
2,ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,3,60.80107526881721
3,ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,4,64.65555555555555
4,ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,5,61.62903225806452
5,ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,6,64.15138888888889
6,ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,7,70.94086021505376
7,ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,8,72.31317204301075
8,ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,9,73.33611111111111
9,ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,10,75.91263440860214
10,ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,11,79.975
11,ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT AK US,12,85.55779569892474
12,ANNETTE WEATHER SERVICE OFFICE AIRPORT AK US,1,82.3225806451613
13,ANNETTE WEATHER SERVICE OFFICE AIRPORT AK US,2,76.59821428571429
14,ANNETTE WEATHER SERVICE OFFICE AIRPORT AK US,3,72.50940860215054
15,ANNETTE WEATHER SERVICE OFFICE AIRPORT AK US,4,77.46944444444445
16,ANNETTE WEATHER SERVICE OFFICE AIRPORT AK US,5,76.38709677419355
17,ANNETTE WEATHER SERVICE OFFICE AIRPORT AK US,6,80.8638888888889
18,ANNETTE WEATHER SERVICE OFFICE AIRPORT AK US,7,78.84811827956989
19,ANNETTE WEATHER SERVICE OFFICE AIRPORT AK US,8,81.01209677419355
20,ANNETTE WEATHER SERVICE OFFICE AIRPORT AK US,9,86.96527777777777
21,ANNETTE WEATHER SERVICE OFFICE AIRPORT AK US,10,86.71908602150538
22,ANNETTE WEATHER SERVICE OFFICE AIRPORT AK US,11,85.25694444444444
23,ANNETTE WEATHER SERVICE OFFICE AIRPORT AK US,12,81.98118279569893
24,BARROW W POST W ROGERS AIRPORT AK US,1,77.86962365591398
25,BARROW W POST W ROGERS AIRPORT AK US,2,75.60714285714286
26,BARROW W POST W ROGERS AIRPORT AK US,3,79.76478494623656
27,BARROW W POST W ROGERS AIRPORT AK US,4,78.80694444444444
28,BARROW W POST W ROGERS AIRPORT AK US,5,88.0
29,BARROW W POST W ROGERS AIRPORT AK US,6,89.34861111111111
30,BARROW W POST W ROGERS AIRPORT AK US,7,89.44623655913979
31,BARROW W POST W ROGERS AIRPORT AK US,8,85.73790322580645
32,BARROW W POST W ROGERS AIRPORT AK US,9,85.6
