,noaa_index,elevation,latitude,longitude
13,BIG RIVER LAKES AK US,12.0,60.81700134277344,-152.3000030517578
17,CORDOVA M K SMITH AIRPORT AK US,12.0,60.5,-145.5
20,DUTCH HARBOR AK US,4.0,53.900001525878906,-166.5500030517578
23,EIELSON FIELD AK US,167.0,64.6500015258789,-147.10000610351562
35,ILIAMNA AIRPORT AK US,57.0,59.75,-154.91700744628906
38,KENAI MUNICIPAL AIRPORT AK US,26.0,60.58300018310547,-151.23300170898438
50,NORTHWAY AIRPORT AK US,522.0,62.96699905395508,-141.93299865722656
51,MATANUSKA AGRICULTURAL EXPERIMENT STATION AK US,71.0,61.599998474121094,-149.08299255371094
59,SEWARD AIRPORT AK US,18.0,60.117000579833984,-149.4499969482422
62,SITKA AIRPORT AK US,4.0,57.04999923706055,-135.36700439453125
68,TANANA CALHOUN MEMORIAL AIRPORT AK US,71.0,65.16699981689453,-152.10000610351562
72,VALDEZ WEATHER SERVICE OFFICE AK US,7.0,61.132999420166016,-146.35000610351562
74,WRANGELL AIRPORT AK US,13.0,56.483001708984375,-132.36700439453125
